ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
39;Gelber Senf;Plantae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Gemeine Hasel;Plantae;Betulaceae;Corylus;avellana;;;2;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;E;;Haselnusscreme, Nusscreme, Armbrustbögen, Langbögen;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Gemeine Wegwarte (Zichorie);Plantae;Asteraceae;Cichorium;intybus;;30;;x;;Tiefwurzler;;;;;;;;;;L9;;;;T6;;;F4;;;;;;;;;;;;;;;K5;R8;N5;;;;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
42;Gemeiner Flieder;Plantae;Oleaceae;Syringa;vulgaris;;600;3;;;;;;;;;;;;;L5;;;;T8;;;F6;;;;;;;;;;;;;;;K6;R7;N5;;;;;;;;;;;;;;I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Gemeiner Lein;Plantae;Linaceae;Linum;usitatissimum;;100;4;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Gewöhnliche Berberitzen;Plantae;;Berberis;vulgaris;;300;3;;;;;x;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;P;;;;;;;;;;5, 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z3;;H8;;;;
45;Gewöhnliche Mahonie;Plantae;;Berberis;aquifolium;;180;3;;;;;;;;;;x;;;L3;;;;T8;;;F5;;;;;;;;;;;;;;;K4;R6;N5;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Gewöhnliche Wiesen-Schafgarbe;Plantae;Asteraceae;Achillea;millefolium;;100;4;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Gewöhnlicher Beinwell;Plantae;Boraginaceae;Symphytum;officinale;;60;4;x;;;;;;x;x;x;;;;T7;;;;T6;;;F8;;;;;;;;;;;;;;;K3;;N8;;;;E;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
48;Ginkgo;Plantae;Ginkgoaceae;Ginkgo;biloba;;;1;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
